rxqual_value,rxlev_dbm,km_value,hour,day_of_week,is_weekend,has_hdlc_retrans,com_dte_dce_ok,voisinage_ok,label
0.0,-61.0,7.321,0.0,0,0,1,1,1,0
0.0,-72.0,140.659,8.0,4,0,1,1,1,0
7.0,-61.0,7.321,19.0,4,0,1,1,1,0
0.0,-68.0,179.149,22.0,4,0,1,1,1,0
6.0,-48.0,4.707,9.0,5,1,1,1,1,1
0.0,-70.0,134.3,15.0,6,1,1,1,1,0
3.0,-92.0,26.739,17.0,2,0,1,1,1,0
1.0,-72.0,8.97,9.0,3,0,1,1,1,1
7.0,-84.0,127.815,18.0,3,0,1,1,1,0
7.0,-82.0,73.586,22.0,3,0,1,1,1,0
7.0,-50.0,177.85,17.0,4,0,1,1,1,0
0.0,-47.0,158.298,11.0,5,1,1,1,1,0
4.0,-58.0,134.3,16.0,5,1,1,1,1,0
0.0,-47.0,60.945,17.0,5,1,1,1,1,0
5.0,-42.0,182.865,8.0,6,1,1,1,1,0
4.0,-58.0,86.238,15.0,6,1,1,1,1,0
0.0,-62.0,92.561,15.0,6,1,1,1,1,0
6.0,-55.0,7.321,14.0,0,0,1,1,1,1
7.0,-79.0,94.954,15.0,0,0,1,1,1,0
0.0,-67.0,76.968,22.0,0,0,1,1,1,0
1.0,-77.0,127.815,8.0,3,0,1,1,1,0
0.0,-66.0,52.289,12.0,3,0,1,1,1,0
6.0,-63.0,133.074,17.0,3,0,1,1,1,0
0.0,-62.0,175.373,18.0,3,0,1,0,1,0
0.0,-62.0,154.824,20.0,3,0,1,1,1,0
1.0,-70.0,53.601,15.0,4,0,1,1,1,0
0.0,-54.0,186.315,16.0,5,1,1,1,1,0
0.0,-78.0,125.206,7.0,6,1,1,1,1,0
0.0,-79.0,98.982,4.0,0,0,1,1,1,0
0.0,-84.0,14.99,7.0,0,0,1,1,1,0
0.0,-59.0,118.562,13.0,1,0,1,1,1,0
7.0,-77.0,73.586,18.0,2,0,1,1,1,1
5.0,-49.0,73.526,12.0,3,0,1,1,1,1
7.0,-68.0,7.321,20.0,4,0,1,1,1,1
0.0,-70.0,135.585,10.0,5,1,1,1,1,0
5.0,-72.0,146.738,8.0,6,1,1,1,1,0
5.0,-54.0,56.555,15.0,6,1,1,1,1,0
1.0,-47.0,14.99,14.0,0,0,1,1,1,0
2.0,-67.0,35.016,12.0,1,0,1,1,1,0
5.0,-69.0,81.777,14.0,1,0,1,1,1,0
0.0,-61.0,78.155,9.0,2,0,1,1,1,0
7.0,-110.0,122.536,18.0,2,0,1,1,1,0
7.0,-57.0,165.298,10.0,3,0,1,0,1,0
0.0,-53.0,152.488,10.0,3,0,1,1,1,0
7.0,-75.0,7.321,14.0,3,0,1,1,1,1
4.0,-47.0,73.526,17.0,3,0,1,1,1,0
7.0,-72.0,7.321,20.0,3,0,1,1,1,1
1.0,-49.0,31.351,18.0,4,0,1,1,1,0
2.0,-70.0,143.112,21.0,4,0,1,1,1,0
0.0,-51.0,102.89,20.0,4,0,1,1,1,0
0.0,-55.0,166.529,17.0,5,1,1,1,1,0
7.0,-110.0,174.074,9.0,6,1,1,1,1,0
0.0,-49.0,5.93,8.0,1,0,1,1,1,1
1.0,-47.0,112.035,17.0,1,0,1,1,1,0
1.0,-47.0,94.954,16.0,2,0,1,1,1,0
2.0,-55.0,6.13,17.0,2,0,1,1,1,0
2.0,-61.0,35.259,20.0,2,0,1,0,1,0
2.0,-72.0,126.51,7.0,3,0,1,1,1,1
0.0,-72.0,88.911,4.0,4,0,1,1,1,0
0.0,-56.0,106.918,17.0,5,1,1,1,1,0
7.0,-69.0,202.125,18.0,5,1,1,1,1,1
7.0,-87.0,188.055,11.0,6,1,1,1,1,1
3.0,-68.0,155.962,8.0,0,0,1,1,1,0
0.0,-56.0,79.282,17.0,0,0,1,0,1,0
0.0,-48.0,151.35,6.0,1,0,1,1,1,0
2.0,-89.0,53.541,9.0,2,0,1,1,1,0
0.0,-48.0,151.35,13.0,2,0,1,1,1,0
6.0,-49.0,7.321,20.0,2,0,1,1,1,1
7.0,-65.0,177.85,20.0,2,0,1,1,1,1
7.0,-54.0,7.321,23.0,2,0,1,1,1,1
0.0,-71.0,6.13,13.0,3,0,1,1,1,1
7.0,-52.0,6.13,14.0,3,0,1,1,1,1
7.0,-52.0,6.13,21.0,3,0,1,1,1,1
7.0,-55.0,6.13,12.0,4,0,1,1,1,0
0.0,-68.0,144.326,7.0,5,1,1,1,1,0
5.0,-53.0,79.282,13.0,5,1,1,1,1,0
0.0,-58.0,74.713,13.0,5,1,1,1,1,0
5.0,-66.0,153.686,16.0,5,1,1,1,0,0
7.0,-52.0,6.13,17.0,5,1,1,1,0,0
5.0,-80.0,165.298,9.0,6,1,1,1,0,0
0.0,-48.0,156.022,10.0,6,1,1,1,1,0
7.0,-65.0,6.13,19.0,6,1,1,1,1,0
0.0,-68.0,140.659,19.0,6,1,1,1,1,0
0.0,-67.0,11.28,21.0,6,1,1,1,1,0
0.0,-63.0,118.562,12.0,0,0,1,1,1,0
0.0,-88.0,47.127,20.0,0,0,1,1,1,0
0.0,-49.0,52.289,11.0,1,0,1,1,1,0
0.0,-48.0,18.89,23.0,1,0,1,1,1,0
0.0,-73.0,138.302,17.0,2,0,1,1,1,0
0.0,-57.0,52.289,19.0,2,0,1,1,1,0
0.0,-51.0,161.722,15.0,4,0,1,1,1,0
6.0,-58.0,152.488,15.0,4,0,1,1,1,0
7.0,-64.0,202.125,18.0,6,1,1,1,1,1
0.0,-58.0,185.47,19.0,6,1,1,1,0,0
7.0,-58.0,7.321,11.0,1,0,1,1,1,0
7.0,-52.0,6.13,8.0,2,0,1,1,1,0
7.0,-57.0,6.13,14.0,2,0,1,1,0,0
0.0,-50.0,121.232,7.0,3,0,1,1,1,0
7.0,-55.0,7.321,9.0,3,0,1,1,1,0
2.0,-49.0,6.13,16.0,3,0,1,1,0,0
3.0,-56.0,114.607,16.0,3,0,1,1,1,0
7.0,-54.0,7.321,23.0,3,0,1,1,1,0
6.0,-59.0,109.495,14.0,5,1,1,1,0,0
0.0,-75.0,186.87,15.0,5,1,1,1,0,0
0.0,-48.0,83.084,15.0,5,1,1,1,1,0
1.0,-68.0,166.529,9.0,6,1,1,0,1,0
7.0,-52.0,7.321,10.0,6,1,1,1,1,0
0.0,-61.0,32.626,9.0,0,0,1,1,0,1
