source,timestamp,km,zone_gsmr,cause_racine,sous_systeme,rxqual_ertms,rxlev_ertms,start_time,stop_time,call_setup_duration,transaction_duration,gsmr_connected,etcs_connected,end_event,end_cause,imei,label,call_setup_sec,transaction_sec,hour,day_of_week,is_weekend,is_night,duration_very_short,duration_very_long,slow_setup,km_value
ERTMS,2025-12-07 20:46:08.000,179.149,GSMR_30/31,"Selon notre analyse, nous avons constaté que le HO est non complet entre 230 et 231 ,les conditions radio étaient bonnes avant la déconnexion, La requete de deconnexion a ete envoyé par le RBC suite au retransmission des trames HDLC",GSMR,dl Rxqual=0,dl rx level=-64,2025-12-07 20:46:02.091,2025-12-07 20:46:19.109,3s 609ms,17s 18ms,Connected,Not Connected,User Plane SAPDU DI,Normal release requested by peer SFM user,35214500004427.0,1,3.609,17.018,20,6,1,0,1,0,0,179.149
ERTMS,2025-11-21 13:55:47.000,94.954,GSMR_17/18,"Selon notre analyse, nous avons constaté que le HO non finalisé entre 318 et 317, les conditions radio étaient mauvaies avant la déconnexion, La requete de deconnexion a ete envoyé par le RBC avec retransmission des trames HDLC*5",BORD,dl Rxqual=7,dl rx level=-68,2025-11-21 13:55:41.919,2025-11-21 13:55:57.890,3s 650ms,15s 971ms,Connected,Connected,User Plane SAPDU DI,Normal release requested by peer SFM user,35214500038727.0,1,3.65,15.971,13,4,0,0,1,0,0,94.954
ERTMS,2026-02-04 13:13:33.000,7.321,GSMR_02/03,"Selon notre analyse, nous avons constaté que le HO complet  entre 203 et 302, les conditions radio étaient Mauvaise avant la déconnexion, La requete de deconnexion a ete envoyé par le RBC avec retransmission des trames HDLC*5",BORD,dl Rxqual=5,dl rx level=-52,2026-02-04 13:13:35.520,2026-02-04 13:13:40.549,3s 597ms,5s 29ms,Connected,Not Connected,Disconnect,Normal call clearing,35214500038727.0,1,3.597,5.029,13,2,0,0,1,0,0,7.321
ERTMS,2025-11-16 21:04:58.000,6.13,GSMR_02/03,"Selon notre analyse, nous avons constaté que le HO Complete entre 301 et 202, les conditions radio étaient mauvaies avant la déconnexion, La requete de deconnexion a ete envoyé par le RBC  avec retransmission des trames HDLC*5",BORD,dl Rxqual=7,dl rx level=-58,2025-11-16 21:05:00.965,2025-11-16 21:05:07.876,3s 612ms,6s 911ms,Connected,Not Connected,Disconnect,Normal call clearing,35214500044293.0,1,3.612,6.911,21,6,1,0,1,0,0,6.13
Expandium_Normal,2026-01-02 05:53:25.993,,,,,,,2026-01-02 05:53:25.993,2026-01-02 07:07:22.104,3s 587ms,1h 13min 56s 111ms,Connected,Connected,User Plane SUBSET026 Term Session,,35214500045494.0,0,3.5869999999999997,4436.111,5,4,0,1,0,1,0,
Expandium_Normal,2025-12-15 18:32:19.585,,,,,,,2025-12-15 18:32:19.585,2025-12-15 19:13:40.976,3s 606ms,41min 21s 391ms,Connected,Connected,User Plane SUBSET026 Term Session,,35214500045494.0,0,3.606,2481.391,18,0,0,0,0,0,0,
Expandium_Normal,2025-11-25 19:01:24.224,,,,,,,2025-11-25 19:01:24.224,2025-11-25 19:46:03.574,3s 608ms,44min 39s 350ms,Connected,Connected,User Plane SUBSET026 Term Session,,35214500042751.0,0,3.608,2679.35,19,1,0,0,0,0,0,
Expandium_Normal,2025-10-25 20:36:24.778,,,,,,,2025-10-25 20:36:24.778,2025-10-25 21:18:21.497,3s 632ms,41min 56s 719ms,Connected,Connected,User Plane SUBSET026 Term Session,,35214500045491.0,0,3.632,2516.719,20,5,1,0,0,0,0,
Expandium_Normal,2026-01-26 05:52:58.655,,,,,,,2026-01-26 05:52:58.655,2026-01-26 07:08:49.676,3s 630ms,1h 15min 51s 21ms,Connected,Connected,User Plane SUBSET026 Term Session,,35214500045098.0,0,3.63,4551.021,5,0,0,1,0,1,0,
Expandium_Normal,2026-01-28 05:07:33.981,,,,,,,2026-01-28 05:07:33.981,2026-01-28 05:08:17.420,4s 561ms,43s 439ms,Connected,Connected,User Plane SUBSET026 Term Session,,35214500004427.0,0,4.561,43.439,5,2,0,1,1,0,0,
